"KOD10,C,5","JEL,C,1","NEV,C,150","NEM,C,1","KOR_A,N,2,0","KOR_F,N,2,0","ERV_KEZD,C,8","ERV_VEGE,C,8"
A1672,,Mellkasi nyirokcsomó primer gümïkór bakt. vagy szöv.vizsg. eml.nélkül,0,0,99,19950101,29991231
A1673,,"Elsïdleges, gümïkóros pleuritis, bakt. vagy szöv.vizsgálat emlitése",0,0,99,19950101,29991231
A1674,,"Elsïdleges, gümïkóros empyema, bakt. vagy szöv.vizsg. emlitése nélkül",0,0,99,19950101,29991231
A1680,,"Egyéb légzïszervi gümïkor, bakter. vagy szövettan említése nélkül",0,0,99,19950101,29991231
A1681,,"Mediastinalis gümïkór, bakt. vagy szövett. vizsg. emlitése nélkül",0,0,99,19950101,29991231
A1682,,"Orrgarati gümïkór, bakt. vagy szövett. vizsg. emlitése nélkül",0,0,99,19950101,29991231
A1683,,"Orrmelléküregi gümïkór, bakt. vagy szövett. vizsg. emlitése nélkül",0,0,99,19950101,29991231
A1690,,"Légzïszervi gümïkór k.m.n., bakter. vagy szövettan említése nélkül",0,0,99,19950101,29991231
A1700,+,Gümïkóros agyhártyagyulladás (G01*),0,0,99,19950101,29991231
A1710,+,Az agyhártyák tuberculomája (G07*),0,0,99,19950101,29991231
A1780,+,Az idegrendszer egyéb gümïkórja,0,0,99,19950101,29991231
A1781,,Agyvelï gümïkór (Meningoencephalitis tub.),0,0,99,19950101,29991231
A1782,,Agyvelï tuberculoma,0,0,99,19950101,29991231
A1783,,Gerincvelï gümïkór,0,0,99,19950101,29991231
A1784,,"Polyneuropathia, gümïkóros",0,0,99,19950101,29991231
A1790,+,Az idegrendszer gümïkórja k.m.n. (99.8*),0,0,99,19950101,29991231
A1800,+,A csontok és izületek gümïkórja,0,0,99,19950101,29991231
A1801,,Csigolya gümïkór (spondylitis tuberculosa),0,0,99,19950101,29991231
A1802,,Csípï gümïkór (coxitis),0,0,99,19950101,29991231
A1803,,Térd gümïkór (gonitis),0,0,99,19950101,29991231
A1804,,Borda gümïkór (caries costae),0,0,99,19950101,29991231
A1805,,Lábtï csontok gümïkórja,0,0,99,19950101,29991231
A1806,,"Könyök, kéztï izület gümïkórja",0,0,99,19950101,29991231
A1807,,Csecsnyúlvány gümïkór,0,0,99,19950101,29991231
A1808,,"Csont, csontvelï gümïkór - egyéb helyen",0,0,99,19950101,29991231
A1809,,"Izületek, inak savós burkai gümïkórja",0,0,99,19950101,29991231
A1810,+,A húgy-ivarszervek gümïkórja,0,0,99,19950101,29991231
A1811,,Vesekéreg gümïkór,0,0,99,19950101,29991231
A1812,,Vese ulcerocavernosus gümïkór,0,0,99,19950101,29991231
A1813,,Vese massziv tuberculosisos degeneratio,0,0,99,19950101,29991231
A1814,,Ureter gümïkór,0,0,99,19950101,29991231
A1815,,Húgyhólyag gümïkór,0,0,99,19950101,29991231
A1816,,Urethra gümïkór,0,0,99,19950101,29991231
A1817,,"Méhtest, adnexum, vulva gümïkór",0,0,99,19950101,29991231
A1818,,Prostata (vesicula seminalis) gümïkór,0,0,99,19950101,29991231
A1819,,"Here, mellékhere, ondóvezeték gümïkór",0,0,99,19950101,29991231
A1820,,Gümïkóros perifériás nyirokcsomó betegség,0,0,99,19950101,29991231
A1821,,Nyaki nyirokcsomó gümïkór,0,0,99,19950101,29991231
A1828,,Periferiás nyirokcsomó (egyéb regio) gümïkór,0,0,99,19950101,29991231
A1830,,"A bél, a hashártya és a bélfodri mirigyek gümïkórja",0,0,99,19950101,29991231
A1831,,Ileocoecum gümïkór,0,0,99,19950101,29991231
A1832,,Ileum gümïkór,0,0,99,19950101,29991231
A1833,,Anus ( végbél ) gümïkór,0,0,99,19950101,29991231
A1834,,Peritonitis tuberculosa,0,0,99,19950101,29991231
A1835,,Mesenterialis nyirokcsomó gümïkór,0,0,99,19950101,29991231
A1836,,Retroperitonealis nyirokcsomó gümïkór,0,0,99,19950101,29991231
A1837,,Ilecoecum primaer gümïkór,0,0,99,19950101,29991231
A1838,,Ileum primaer gümïkór,0,0,99,19950101,29991231
A1840,,A bïr és a bïralatti szövet gümïkórja,0,0,99,19950101,29991231
A1841,,Cutis primer complexus (gümïs),0,0,99,19950101,29991231
A1842,,Tuberculosis ulcerosa cutis et mucosae,0,0,99,19950101,29991231
A1843,,Tuberculosis cutis luposa,0,0,99,19950101,29991231
A1844,,Tuberculosis cutis verrucosa,0,0,99,19950101,29991231
A1845,,Tuberculosis cutis colliquativa,0,0,99,19950101,29991231
A1846,,Tuberculosis indurativa Bazin,0,0,99,19950101,29991231
A1847,,Erythema nodosum tuberculoticum,0,0,99,19950101,29991231
A1848,,Szemhéj tuberculosis,0,0,99,19950101,29991231
A1850,+,A szem gümïkórja,0,0,99,19950101,29991231
A1851,,Iridocyclitis tuberculosa,0,0,99,19950101,29991231
A1852,,Chorioretinitis tuberculosa,0,0,99,19950101,29991231
A1853,,Keratitis intersticialis tuberculosa,0,0,99,19950101,29991231
A1854,,Keratoconjunctivitis interstic. phlyctaenularis tuberculosa,0,0,99,19950101,29991231
A1855,,Episcleritis tuberculosa,0,0,99,19950101,29991231
A1860,+,A fül gümïkórja,0,0,99,19950101,29991231
A1861,,Otitis media tuberculosa,0,0,99,19950101,29991231
A1862,,Szájnyálkahártya tuberculosis,0,0,99,19950101,29991231
A1863,,Szájnyálkahártya primaer tuberculosis,0,0,99,19950101,29991231
A1869,,Fül gümïkór - egyéb (rész),0,0,99,19950101,29991231
A1870,+,Mellékvesék gümïkórja (E35.1*),0,0,99,19950101,29991231
A1880,+,Egyéb szervek gümïkórja,0,0,99,19950101,29991231
A1881,,Nyelïcsï gümïkór,0,0,99,19950101,29991231
A1882,,Máj gümïkór (tuberculoma),0,0,99,19950101,29991231
A1883,,Lép gümïkór,0,0,99,19950101,29991231
A1884,,Pajzsmirigy gümïkór,0,0,99,19950101,29991231
A1885,,Emlï gümïkór,0,0,99,19950101,29991231
A1886,,Szívburok gümïkór,0,0,99,19950101,29991231
A1887,,Szívizom gümïkór,0,0,99,19950101,29991231
A1888,,Szívbelhártya gümïkór,0,0,99,19950101,29991231
A1900,,Heveny miliaris gümïkór egy meghatározott helyen,0,0,99,19950101,29991231
A1901,,Heveny miliaris tüdï gümïkór,0,0,99,19950101,29991231
A1910,,Heveny miliaris gümïkór több helyen,0,0,99,19950101,29991231
A1920,,Heveny miliaris gümïkór k.m.n.,0,0,99,19950101,29991231
A1980,,Egyéb miliaris gümïkór,0,0,99,19950101,29991231
A1990,,Miliaris gümïkór k.m.n.,0,0,99,19950101,29991231
A199A,,Miliáris gümïkór k.m.n. ..-polirezisztens kórokozóval.,0,0,99,19950101,29991231
A2000,,Bubópestis,0,0,99,19950101,29991231
A2010,,Cellulocutan pestis,0,0,99,19950101,29991231
A2020,,Tüdïpestis,0,0,99,19950101,29991231
A2030,,Pestises agyhártyagyulladás,0,0,99,19950101,29991231
A2070,,Pestises septicaemia,0,0,99,19950101,29991231
A2080,,Egyéb pestis kórformák,0,0,99,19950101,29991231
A2090,,Pestis k.m.n.,0,0,99,19950101,29991231
A2100,,Tularaemia ulceroglandularis,0,0,99,19950101,29991231
A2110,,Tularaemia oculoglandularis,0,0,99,19950101,29991231
A2120,,Tüdï tularaemia,0,0,99,19950101,29991231
A2130,,A gyomor-bélrendszer tularaemiája,0,0,99,19950101,29991231
A2170,,Generalizált tularaemia,0,0,99,19950101,29991231
A2180,,Tularaemia egyéb formái,0,0,99,19950101,29991231
A2190,,Tularaemia k.m.n.,0,0,99,19950101,29991231
A2200,,Bïr anthrax,0,0,99,19950101,29991231
A2210,,Tüdï anthrax,0,0,99,19950101,29991231
A2220,,Gyomor-bél anthrax,0,0,99,19950101,29991231
A2270,,Anthrax septicaemia,0,0,99,19950101,29991231
A2280,,Az anthrax egyéb formái,0,0,99,19950101,29991231
A2290,,Lépfene k.m.n.,0,0,99,19950101,29991231
A2300,,Brucella melitensis által okozott brucellosis,0,0,99,19950101,29991231
A2310,,Brucella abortus által okozott brucellosis,0,0,99,19950101,29991231
A2320,,Brucella suis által okozott brucellosis,0,0,99,19950101,29991231
A2330,,Brucella canis által okozott brucellosis,0,0,99,19950101,29991231
A2380,,Egyéb brucellosis,0,0,99,19950101,29991231
A2390,,Brucellosis k.m.n.,0,0,99,19950101,29991231
A2400,,Takonykór,0,0,99,19950101,29991231
A2410,,Heveny és fulmináns lefolyású melioidosis,0,0,99,19950101,29991231
A2420,,Félheveny és idült melioidosis,0,0,99,19950101,29991231
A2430,,Egyéb melioidosis,0,0,99,19950101,29991231
A2440,,Melioidosis k.m.n.,0,0,99,19950101,29991231
A2500,,"Patkányharapási láz, spirillosis",0,0,99,19950101,29991231
A2510,,Streptobacillosis,0,0,99,19950101,29991231
A2590,,Patkányharapás láz k.m.n.,0,0,99,19950101,29991231
A2600,,Bïr erysipeloid,0,0,99,19950101,29991231
A2670,,Erysipelothrix septicaemia,0,0,99,19950101,29991231
A2680,,Az erysipeloid egyéb formái,0,0,99,19950101,29991231
A2690,,Erysipeloid k.m.n.,0,0,99,19950101,29991231
A2700,,Leptospirosis icterohaemorrhagica [Weil-betegség],0,0,99,19950101,29991231
A2780,,Leptospirosis egyéb formái,0,0,99,19950101,29991231
A2790,,Leptospirosis k.m.n.,0,0,99,19950101,29991231
A2800,,Pasteurellosis,0,0,99,19950101,29991231
A2810,,Macskakarmolás betegség,0,0,99,19950101,29991231
A2820,,Extraintestinalis yersiniosis,0,0,99,19950101,29991231
A2880,,"Egyéb, m.n.o., állatok terjesztette bakteriális betegségek",0,0,99,19950101,29991231
A2890,,"Baktériumok által okozott, állatok terjesztette betegség k.m.n.",0,0,99,19950101,29991231
A3000,,Lepra [Hansen-betegség] k.m.n.,0,0,99,19950101,29991231
A3010,,Tuberculoid lepra,0,0,99,19950101,29991231
A3020,,Határeset¹ tuberculoid lepra,0,0,99,19950101,29991231
A3030,,Határeset¹ lepra,0,0,99,19950101,29991231
A3040,,Határeset¹ lepromatosus lepra,0,0,99,19950101,29991231
A3050,,Lepromatosus lepra,0,0,99,19950101,29991231
A3080,,Lepra egyéb formái,0,0,99,19950101,29991231
A3090,,Lepra k.m.n.,0,0,99,19950101,29991231
A3100,,Tüdï mycobacterium fertïzés,0,0,99,19950101,29991231
A3110,,Bïr mycobacterium fertïzés,0,0,99,19950101,29991231
A3180,,Egyéb mycobacterium által okozott fertïzések,0,0,99,19950101,29991231
A3190,,Mycobacterium fertïzés k.m.n.,0,0,99,19950101,29991231
A3200,,Bïr listeriosis,0,0,99,19950101,29991231
A3210,+,Listeria meningitis és meningoencephalitis,0,0,99,19950101,29991231
A3270,,Listeria septicaemia,0,0,99,19950101,29991231
A3280,,Listeriosis egyéb formái,0,0,99,19950101,29991231
A3290,,Listeriosis k.m.n.,0,0,99,19950101,29991231
A33H0,,Tetanus neonatorum,0,0,0,19950101,29991231
A34H0,,Szülészeti tetanus,2,0,99,19950101,29991231
A35H0,,Egyéb tetanus,0,0,99,19950101,29991231
A3600,,Torokdiphtheria,0,0,99,19950101,29991231
A3610,,Orrgarat diphtheria,0,0,99,19950101,29991231
A3620,,Gége diphtheria,0,0,99,19950101,29991231
A3630,,Bïr diphtheria,0,0,99,19950101,29991231
A3680,,Egyéb diphtheria,0,0,99,19950101,29991231
A3690,,Diphtheria k.m.n.,0,0,99,19950101,29991231
A3700,,"Szamárköhögés, Bordetella pertussis miatt",0,0,99,19950101,29991231
A3710,,"Szamárköhögés, Bordetella parapertussis miatt",0,0,99,19950101,29991231
A3780,,"Szamárköhögés, egyéb Bordetella fajok miatt",0,0,99,19950101,29991231
A3790,,Szamárköhögés k.m.n.,0,0,99,19950101,29991231
A38H0,,Vörheny,0,0,99,19950101,29991231
A3900,+,Meningococcus okozta agyhártyagyulladás (G01*),0,0,99,19950101,29991231
A3910,+,Waterhouse-Friderichsen syndroma (E35.1*),0,0,99,19950101,29991231
A3920,,Heveny meningicoccaemia,0,0,99,19950101,29991231
A3930,,Idült meningococcaemia,0,0,99,19950101,29991231
A3940,,Meningococcaemia k.m.n.,0,0,99,19950101,29991231
A3950,+,A szív meningococcusos betegsége,0,0,99,19950101,29991231
A3980,,Egyéb meningococcus okozta fertïzések,0,0,99,19950101,29991231
A3990,,Meningococcus okozta fertïzés k.m.n.,0,0,99,19950101,29991231
A4000,,"Septicaemia, A csoportú streptococcus miatt",0,0,99,19950101,29991231
A4010,,"Septicaemia, B csoportú streptococcus miatt",0,0,99,19950101,29991231
A4020,,"Septicaemia, D csoportú streptococcus miatt",0,0,99,19950101,29991231
A4030,,Septicaemia Streptococcus pneumoniae miatt,0,0,99,19950101,29991231
A4080,,Egyéb streptococcus okozta septicaemia,0,0,99,19950101,29991231
A4090,,"Septicaemia, streptococcus miatt k.m.n.",0,0,99,19950101,29991231
A4100,,Staphylococcus aureus okozta septicaemia,0,0,99,19950101,29991231
A4110,,Egyéb azonosított staphylococcus okozta septicaemia,0,0,99,19950101,29991231
A4120,,Nem azonosított staphylococcus okozta septicaemia,0,0,99,19950101,29991231
